ticket,sl,tp,be,be_condition
20046505,1.07983,1.09383,1.08983,1.0900299999999998
20048201,1.07984,1.09384,1.08974,1.08994
20050220,1.07973,1.09373,1.08973,1.0899299999999998
20053943,1.07959,1.09359,1.0895899999999998,1.0897899999999998
20058260,1.07991,1.09391,1.0898599999999998,1.0900599999999998
20062617,1.07955,1.09355,1.0895,1.0897
20063290,1.07974,1.09374,1.08967,1.08987
20063945,1.07993,1.09393,1.08988,1.09008
20066627,1.07931,1.09331,1.08924,1.08944
20066966,1.07933,1.09333,1.08926,1.08946
20068645,1.07881,1.09281,1.0888,1.089
